Jogador;Equipa;Equipa dentro de um período de tempo seleccionado;Posição;Idade;Valor de mercado;Contrato termina;Partidas jogadas;Minutos jogados:;Golos;Golos esperados;Assistências;Assistências esperadas;Duelos/90;Duelos ganhos, %;Naturalidade;País de nacionalidade;Pé;Altura;Peso;Emprestado;Ações defensivas com êxito/90;Duelos defensivos/90;Duelos defensivos ganhos, %;Duelos aérios/90;Duelos aéreos ganhos, %;Cortes/90;Cortes de carrinho ajust. à posse;Remates intercetados/90;Interseções/90;Interceções ajust. à posse;Faltas/90;Cartões amarelos;Cartões amarelos/90;Cartões vermelhos;Cartões vermelhos/90;Acções atacantes com sucesso/90;Golos/90;Golos sem ser por penálti;Golos sem ser por penálti/90;Golos esperados/90;Golos de cabeça;Golos de cabeça/90;Remate;Remates/90;Remates à baliza, %;Golos marcados, %;Assistências/90;Cruzamentos/90;Cruzamentos certos, %;Cruzamentos do flanco esquerdo/90;Cruzamentos precisos do flanco esquerdo, %;Cruzamentos do flanco direito/90;Cruzamentos precisos do flanco direito, %;Cruzamentos para a área de baliza/90;Dribles/90;Dribles com sucesso, %;Duelos ofensivos/90;Duelos ofensivos ganhos, %;Toques na área/90;Corridas progressivas/90;Acelerações/90;Passes recebidos/90;Passes longos recebidos/90;Faltas sofridas/90;Passes/90;Passes certos, %;Passes para a frente/90;Passes para a frente certos, %;Passes para trás/90;Passes para trás certos, %;Passes laterais/90;Passes laterais certos, %;Passes curtos / médios /90;Passes curtos / médios precisos, %;Passes longos/90;Passes longos certos, %;Comprimento médio de passes, m;Comprimento médio de passes longos, m;Assistências esperadas/90;Assistências para remate/90;Segundas assistências/90;Terceiras assistências/90;Passes inteligentes/90;Passes inteligentes certos, %;Passes chave/90;Passes para terço final/90;Passes certos para terço final, %;Passes para a área de penálti/90;Passes precisos para a área de penálti, %;Passes em profundidade/90;Passes em profundidade certos, %;Receção de passes em profundidade/90;Cruzamentos em profundidade recebidos/90;Passes progressivos/90;Passes progressivos certos, %;Golos sofridos;Golos sofridos/90;Remates sofridos;Remates sofridos/90;Jogos sem sofrer golos;Defesas, %;Golos sofridos esperados ;Golos sofridos esperados/90;Golos expectáveis defendidos;Golos expectáveis defendidos por 90´;Passes para trás recebidos pelo guarda-redes/90;Saídas/90;Duelos aérios/90;Livres/90;Livres directos/90;Pontapés livres directos à baliza, %;Cantos/90;Penaltis marcados;Conversão de penaltis, %
Titi;Fortaleza;Fortaleza;LCB;34;350000;2022-12-31;40;3719;1;1,02;0;0,14;13,02;64,13;Brazil;Brazil, Italy;esquerdo;188;83;sim;7,57;6,1;64,68;3,07;67,72;0,12;0,16;0,34;3,51;4,63;1,4;3;0,07;0;0;0,44;0,02;1;0,02;0,02;1;0,02;7;0,17;28,57;14,286;0;0,07;66,67;0,05;50;0,02;100;0;0,39;81,25;1,55;64,06;0,29;0,68;0,02;20,72;0,29;0,9;33,32;86,06;15,92;76,44;2,42;99;11,69;95,45;27,93;92,29;5,32;53,64;22,17;38,75;0;0,07;0,02;0,02;0,1;25;0,02;5,3;65,75;0,46;36,84;0,36;20;0,22;0,05;6,8;75,09;0;;0;;0;0;0;0;;;1,72;;;0;0;0;0;0;0
Aderlan;Red Bull Bragantino;Red Bull Bragantino;RB;32;1000000;2024-12-31;39;3686;1;0,8;4;6,97;21,76;53,2;Brazil;Brazil;direito;180;71;sim;11,87;10,57;59,82;3,27;55,22;0,2;0,26;0,29;5,35;7,13;2,03;8;0,2;0;0;2,98;0,02;1;0,02;0,02;0;0;21;0,51;9,52;4,762;0,1;3,93;41,61;0,05;50;3,88;41,51;0,44;1,76;65,28;4,2;43,6;1,05;1,12;0,44;25,47;2,27;0,76;37,09;76,04;14,63;68,45;4,13;95,86;12,87;76,85;28,79;84,22;4,61;52,38;20,63;42,01;0,17;1,39;0,02;0;0,44;33,33;0,76;5,98;62,45;4,22;48,55;0,9;35,14;0,83;1,56;9,16;78,13;0;;0;;0;0;0;0;;;0,44;;;0,17;0;0;0,42;0;0
Juninho Capixaba;Fortaleza;Fortaleza;LB, LWB, LW;25;1300000;2022-12-31;40;3648;1;1,98;5;6,45;24,18;50,71;Brazil;Brazil;esquerdo;176;63;sim;9,89;9;56,44;4,51;53,01;0,25;0,31;0,1;4,56;5,74;1,8;9;0,22;1;0,02;3,26;0,02;1;0,02;0,05;0;0;39;0,96;28,21;2,564;0,12;2,84;34,78;2,66;32,41;0,15;66,67;0,39;3,55;54,86;7,43;49,5;1,23;2,34;1,11;25,31;1,68;1,88;36,44;78,67;13,57;72,73;4,42;89,94;12,41;82,5;30,42;85,48;3,28;51,88;19,09;32,98;0,16;1,46;0;0,07;0,3;16,67;0,52;5,53;72,77;2,84;43,48;0,57;34,78;0,37;0,99;8,24;74,85;0;;0;;0;0;0;0;;;0,2;;;1,11;0,22;22,22;1,7;0;0
André;Fluminense;Fluminense;LDMF, LCMF, RCMF;21;8000000;2025-12-31;39;3638;1;0,88;0;0,84;18,18;56,6;Brazil;Brazil;direito;176;77;sim;8,16;6,63;64,18;1,19;33,33;0,42;0,65;0,32;3,49;5,41;1,06;10;0,25;1;0,02;2,37;0,02;1;0,02;0,02;0;0;32;0,79;31,25;3,125;0;0,17;71,43;0,12;60;0,05;100;0;2,65;65,42;8,04;55,08;0,17;1,24;0,49;44,53;0,25;1,61;60,51;93,38;17,69;88,67;7,87;95,91;21,75;96,02;57,34;94,65;3,02;70,49;16,44;35,43;0,02;0,35;0,05;0,05;0,4;68,75;0,1;8,09;88,38;0,82;63,64;0,54;45,45;0,37;0,12;6,88;84,53;0;;0;;0;0;0;0;;;0,67;;;0;0;0;0,02;0;0
Samuel Xavier;Fluminense;Fluminense;RB;32;1000000;2023-12-31;40;3634;2;2,53;2;2,68;13,79;51,89;Brazil;Brazil;direito;166;67;sim;7,36;5,45;61,82;1,66;41,79;0,27;0,42;0,17;3,71;5,79;0,84;6;0,15;0;0;1,59;0,05;2;0,05;0,06;2;0,05;29;0,72;20,69;6,897;0,05;2,25;24,18;0,1;0;2,15;25,29;0,3;1,19;60,42;4,38;46,89;0,99;1,76;0,87;33,14;1,21;1,39;43,14;86,05;15,92;79,63;8,74;95,75;10,01;88,12;38,31;92,44;2,7;46,79;17,4;32,16;0,07;0,64;0,05;0,05;0,35;50;0,37;4,71;78,42;2,23;46,67;0,54;45,45;0,64;0,45;6,76;76,92;0;;0;;0;0;0;0;;;0,27;;;0,1;0;0;0,17;0;0
Messias;Ceará;Ceará;RCB;27;700000;2023-12-31;38;3606;1;1,22;1;0,23;10,31;68,04;Brazil;Brazil;direito;190;87;sim;7,04;2,9;62,07;5,42;75,58;0,17;0,25;0,6;5,07;7,11;0,82;8;0,2;0;0;0,2;0,02;1;0,02;0,03;1;0,02;14;0,35;35,71;7,143;0,02;0,02;100;0;0;0,02;100;0,02;0,07;66,67;0,57;39,13;0,52;0,4;0;15,15;0,17;0,27;26,16;82,82;11,08;67,57;2,2;92,05;10,96;95,44;22,26;89,35;3,87;45,16;21,94;37,84;0,01;0,1;0;0;0;0;0,07;3,44;57,25;0,22;11,11;0,2;25;0,07;0,02;4,82;65,28;0;;0;;0;0;0;0;;;1,75;;;0;0;0;0;0;0
Allan;Atlético Mineiro;Atlético Mineiro;LDMF, DMF, LCMF;25;6500000;2025-12-31;40;3602;0;0,76;0;0,95;12,87;51,46;Brazil;Brazil;esquerdo;175;74;sim;7,1;6,97;54,12;1,05;47,62;0,2;0,3;0,22;3,12;4,72;1,62;9;0,22;0;0;1,17;0;0;0;0,02;0;0;34;0,85;38,24;0;0;0,37;33,33;0,27;27,27;0,07;33,33;0,07;0,97;69,23;2,9;51,72;0,27;1,32;0,57;46;0,42;0,82;59,84;89,02;18,64;76,41;7,6;97,04;26,24;95,33;51,75;93,77;7,72;59,87;20,87;39,12;0,02;0,35;0,02;0,02;0,17;28,57;0,07;11,97;77,04;1,72;47,83;0,95;28,95;0,62;0,15;9,89;83,59;0;;0;;0;0;0;0;;;1,72;;;0;0;0;0;0;0
V. Cuesta;Botafogo;Botafogo;LCB;33;2000000;2023-12-31;36;3545;3;2,05;3;2,21;12,77;63,42;Argentina;Argentina;esquerdo;187;84;sim;9,44;5,31;71,77;3,53;61,15;0,84;1,18;0,69;4,8;6,77;1,14;12;0,3;0;0;1,24;0,08;3;0,08;0,05;3;0,08;17;0,43;52,94;17,647;0,08;0,81;40,63;0,71;42,86;0,1;25;0,13;0,99;69,23;1,68;57,58;0,58;0,81;0,05;28,64;0,43;0,28;44,05;87,49;18,48;80,49;2,26;92,13;18,1;93,69;36,2;93,48;7,03;62,09;21,22;36,87;0,06;0,33;0;0,03;0,05;0;0,23;5,2;74,63;1,09;48,84;0,51;50;0,23;0,36;9,01;76,06;0;;0;;0;0;0;0;;;1,45;;;0,1;0,1;50;0;0;0
João Lucas;Cuiabá;Cuiabá;RB;24;2500000;2025-12-31;40;3524;0;0,92;0;1,5;18,82;51,42;Brazil;Brazil;direito;181;72;sim;9,86;9,22;58,73;2,09;35,37;0,08;0,09;0,2;4,37;5,09;1,48;11;0,28;1;0,03;2,4;0;0;0;0,02;0;0;17;0,43;41,18;0;0;3,35;27,48;0;0;3,35;27,48;0,38;2,22;56,32;4,75;51,08;0,82;2,02;0,89;21,78;1,43;1,1;32,79;73,21;14,63;68,41;4,55;93,26;9,07;78,31;25,08;83,1;4,49;50,57;20,96;35,66;0,04;0,46;0,03;0;0,15;33,33;0,26;4,04;63,29;2,96;41,38;0,64;24;0,49;0,97;7,56;67,57;0;;0;;0;0;0;0;;;0,89;;;0;0;0;0;0;0
Róger Guedes;Corinthians;Corinthians;CF, LW, LWF;26;7000000;2025-08-31;42;3524;12;11,09;2;3,99;18,8;36,82;Brazil;Brazil;direito;182;67;sim;2,04;1,63;53,13;2,53;40,4;0,13;0,18;0,03;1,05;1,45;0,59;7;0,18;0;0;3,35;0,31;11;0,28;0,28;0;0;98;2,5;45,92;12,245;0,05;1,35;24,53;0,94;29,73;0,41;12,5;0,2;4,34;39,41;11,24;35,91;3,06;2,43;0,97;26,54;2,02;2,02;32,46;83,87;6,41;70,92;9,35;93,99;10,34;86,67;29,09;87,36;2,04;72,5;17,28;32,71;0,1;0,89;0,05;0;0,38;40;0,31;3,14;75,61;1,79;60;0,38;33,33;1,07;0,36;3,14;83,74;0;;0;;0;0;0;0;;;0,15;;;0,66;0,49;21,05;0,79;1;100
