Jogador;Equipa;Equipa dentro de um período de tempo seleccionado;Posição;Idade;Valor de mercado;Contrato termina;Partidas jogadas;Minutos jogados:;Golos;Golos esperados;Assistências;Assistências esperadas;Duelos/90;Duelos ganhos, %;Naturalidade;País de nacionalidade;Pé;Altura;Peso;Emprestado;Ações defensivas com êxito/90;Duelos defensivos/90;Duelos defensivos ganhos, %;Duelos aérios/90;Duelos aéreos ganhos, %;Cortes/90;Cortes de carrinho ajust. à posse;Remates intercetados/90;Interseções/90;Interceções ajust. à posse;Faltas/90;Cartões amarelos;Cartões amarelos/90;Cartões vermelhos;Cartões vermelhos/90;Acções atacantes com sucesso/90;Golos/90;Golos sem ser por penálti;Golos sem ser por penálti/90;Golos esperados/90;Golos de cabeça;Golos de cabeça/90;Remate;Remates/90;Remates à baliza, %;Golos marcados, %;Assistências/90;Cruzamentos/90;Cruzamentos certos, %;Cruzamentos do flanco esquerdo/90;Cruzamentos precisos do flanco esquerdo, %;Cruzamentos do flanco direito/90;Cruzamentos precisos do flanco direito, %;Cruzamentos para a área de baliza/90;Dribles/90;Dribles com sucesso, %;Duelos ofensivos/90;Duelos ofensivos ganhos, %;Toques na área/90;Corridas progressivas/90;Acelerações/90;Passes recebidos/90;Passes longos recebidos/90;Faltas sofridas/90;Passes/90;Passes certos, %;Passes para a frente/90;Passes para a frente certos, %;Passes para trás/90;Passes para trás certos, %;Passes laterais/90;Passes laterais certos, %;Passes curtos / médios /90;Passes curtos / médios precisos, %;Passes longos/90;Passes longos certos, %;Comprimento médio de passes, m;Comprimento médio de passes longos, m;Assistências esperadas/90;Assistências para remate/90;Segundas assistências/90;Terceiras assistências/90;Passes inteligentes/90;Passes inteligentes certos, %;Passes chave/90;Passes para terço final/90;Passes certos para terço final, %;Passes para a área de penálti/90;Passes precisos para a área de penálti, %;Passes em profundidade/90;Passes em profundidade certos, %;Receção de passes em profundidade/90;Cruzamentos em profundidade recebidos/90;Passes progressivos/90;Passes progressivos certos, %;Golos sofridos;Golos sofridos/90;Remates sofridos;Remates sofridos/90;Jogos sem sofrer golos;Defesas, %;Golos sofridos esperados ;Golos sofridos esperados/90;Golos expectáveis defendidos;Golos expectáveis defendidos por 90´;Passes para trás recebidos pelo guarda-redes/90;Saídas/90;Duelos aérios/90;Livres/90;Livres directos/90;Pontapés livres directos à baliza, %;Cantos/90;Penaltis marcados;Conversão de penaltis, %
J. Piquerez;Palmeiras;Palmeiras;LB;24;4000000;2025-12-31;26;2380;0;1,74;0;0,52;16,37;56,58;Uruguay;Uruguay, Italy;esquerdo;185;81;sim;9,76;7,68;66,01;1,7;48,89;0,19;0,27;0,3;4,5;6,54;0,76;4;0,15;0;0;1,93;0;0;0;0,07;0;0;19;0,72;26,32;0;0;2,61;20,29;2,61;20,29;0;0;0,42;2,23;52,54;4,84;45,31;0,98;1,1;0,45;29,76;2,42;1,06;40,27;83,57;15,88;79,29;5,14;97,06;13,99;87,3;34,53;91,46;3,21;48,24;19,89;30,05;0,02;0,3;0,04;0;0,11;33,33;0,15;4,95;77,86;1,66;29,55;0,11;0;0,11;0,57;7,15;67,72;0;;0;;0;0;0;0;;;0,64;;;0;0;0;0,04;0;0
Gabriel Baralhas;Atlético GO;Atlético GO;LDMF, RCMF, LCMF;23;800000;2024-06-30;35;2380;4;2,88;1;0,37;16,45;51,72;Brazil;Brazil;direito;178;73;sim;10,44;8,7;55,65;2,5;53,03;1,25;1,6;0,38;4,35;5,59;1,44;9;0,34;0;0;1,29;0,15;4;0,15;0,11;0;0;35;1,32;37,14;11,429;0,04;0,23;16,67;0,04;0;0,19;20;0;1,21;46,88;2,72;44,44;0,76;0,49;0,34;31,46;0,3;0,57;43,49;89,65;11,72;80,65;6,05;97,5;19,36;93,55;40,54;91,98;2,72;61,11;18,92;32,69;0,01;0,26;0,04;0;0,34;55,56;0,11;6,01;86,79;0,95;36;0,45;41,67;0,19;0,04;5,9;73,72;0;;0;;0;0;0;0;;;0,26;;;0,04;0,04;0;0;0;0
Marcos Rocha;Palmeiras;Palmeiras;RB;33;1500000;2022-12-31;27;2344;0;0,1;3;2,04;17,32;56,98;Brazil;Brazil;direito;176;68;sim;10,56;9,94;62,55;1,15;56,67;0,23;0,33;0,19;4,11;5,85;1,15;4;0,15;0;0;1,8;0;0;0;0;0;0;4;0,15;0;0;0,12;1,96;41,18;0;0;1,88;42,86;0,23;1,34;60;3,07;53,75;0,65;1,57;0,31;43,62;2,27;0,88;58,94;83,06;30,06;78,93;3,92;90,2;19,39;88,71;47,23;90,57;9,91;54,65;23,27;40,7;0,08;1;0,04;0,04;0,27;71,43;0,65;12,9;72,92;3,26;56,47;1,38;41,67;1;0,77;15,9;82,37;0;;0;;0;0;0;0;;;0,77;;;0;0;0;0,12;0;0
Rafael Gava;Cuiabá;Cuiabá;RCMF, RW;29;700000;2023-12-31;35;2344;1;2,75;3;4,86;13,9;47,51;Brazil;Brazil;direito;178;71;sim;5,95;5,72;53,69;2,11;47,27;0,42;0,49;0,23;2,46;2,86;0,88;4;0,15;0;0;1,88;0,04;1;0,04;0,11;0;0;38;1,46;28,95;2,632;0,12;1,96;33,33;0,61;43,75;1,34;28,57;0,12;1,11;58,62;4,15;45,37;1,34;0,5;0,15;25,19;0,96;1,11;33,4;81,95;9,94;75,68;5,41;91,49;12,06;84,71;28,34;87,94;3,11;58,02;18,49;30,91;0,19;1,5;0;0;0,27;57,14;0,27;4,99;75,38;2,03;41,51;0,42;36,36;0,5;0,61;5,49;77,62;0;;0;;0;0;0;0;;;0,08;;;1,88;0,12;0;3,38;0;0
Wellington Rato;Atlético GO;Atlético GO;CF, LAMF, AMF;30;1000000;2023-12-31;28;2344;7;6,6;1;2,05;16,09;46,06;Brazil;Brazil;esquerdo;172;77;sim;3,99;4,65;52,07;1,96;43,14;0,08;0,11;0,12;1,5;2,1;0,96;3;0,12;0;0;3,46;0,27;7;0,27;0,25;0;0;69;2,65;36,23;10,145;0,04;2,34;34,43;1,42;24,32;0,92;50;0,42;2,65;59,42;7,72;48,76;2,5;1,77;0,73;23,73;1,61;1,73;29,87;79,95;6,45;67,86;5,68;94,59;12,63;82,37;24,46;86,03;3,19;63,86;20,14;35,65;0,08;1;0,08;0,04;0,42;27,27;0,31;3,72;71,13;3,23;47,62;0,73;42,11;1,04;1,08;4,53;73,73;0;;0;;0;0;0;0;;;0,04;;;0,73;0,19;20;1,23;0;0
William Matheus;Juventude;Juventude;LB;32;400000;2022-12-31;28;2340;1;0,64;0;0,28;15;52,31;Brazil;Brazil;esquerdo;187;80;sim;8,42;6,65;57,23;3,31;52,33;0,19;0,24;0,35;4,42;5,54;1,5;8;0,31;1;0,04;0,73;0,04;1;0,04;0,02;1;0,04;7;0,27;42,86;14,286;0;1,04;22,22;1,04;22,22;0;0;0,08;1,04;29,63;3,31;38,37;0,73;0,77;0,27;25,38;0,92;0,73;34,27;84,06;17,92;80,04;3,58;95,7;8,23;88,79;28,81;91,59;4,54;48,31;20,14;34,83;0,01;0,23;0,04;0;0,15;50;0,04;6,08;77,22;0,96;20;0,35;11,11;0,04;0,23;9,69;74,6;0;;1;;0;100;0,06;0;;;0,15;;;0;0;0;0;0;0
Murilo;Palmeiras;Palmeiras;LCB;25;4000000;2026-12-31;24;2336;3;3,47;1;0,86;13,79;68,72;Brazil;Brazil;direito;188;78;sim;9,63;6,55;67,65;4,82;71,2;0,15;0,22;0,73;5,05;7,36;0,77;5;0,19;0;0;0,69;0,12;3;0,12;0,13;0;0;20;0,77;35;15;0,04;0,04;100;0;0;0;0;0,04;0,46;83,33;1;69,23;1,04;0,81;0,12;29,47;0,85;0,27;43,84;92,53;14,72;83,25;1,89;97,96;24,62;97,81;40,49;95,15;3,31;60,47;22,19;37,47;0,03;0,15;0,04;0;0,08;0;0,04;4,97;79,84;0,15;25;0,15;50;0,08;0,04;6,13;79,25;0;;0;;0;0;0;0;;;1,5;;;0;0;0;0;0;0
Mariano;Atlético Mineiro;Atlético Mineiro;RB;36;400000;2023-12-31;32;2328;0;0,09;1;2,43;13,96;59,56;Brazil;Brazil;direito;177;69;sim;10,75;7,35;66,32;1,59;51,22;0,77;1,14;0,08;5,1;7,5;0,93;7;0,27;0;0;2,28;0;0;0;0;0;0;5;0,19;0;0;0,04;3,48;33,33;0,04;0;3,4;34,09;0,23;1,2;74,19;2,63;54,41;0,12;1,12;0,35;34,68;2,51;0,5;47,36;81,39;17,98;72,47;5,64;97,26;17,05;85,26;38,08;87,92;5,95;66,23;20,79;33,68;0,09;1,04;0,04;0,04;0,62;37,5;0,5;8,85;73,36;4,14;42,99;1,04;51,85;0,66;1,24;12,45;83,23;0;;0;;0;0;0;0;;;1,12;;;0,31;0;0;0,23;0;0
Jadsom;Red Bull Bragantino;Red Bull Bragantino;RCMF, RDMF, LCMF;21;2500000;2025-12-31;35;2323;1;0,92;2;0,41;17,24;51,69;Brazil;Brazil;direito;173;67;sim;10,19;9,3;52,92;1,05;48,15;0,31;0,4;0,43;4,96;6,36;1,94;13;0,5;0;0;1,43;0,04;1;0,04;0,04;0;0;18;0,7;27,78;5,556;0,08;0,23;0;0,15;0;0,08;0;0,12;1,74;68,89;3,68;54,74;0,43;0,66;0,77;22,55;0,31;0,62;34,64;85,46;10,69;72,1;3,41;95,45;17,16;91,2;30,96;89,24;3,45;57,3;20,86;32,74;0,02;0,43;0,12;0,04;0,12;33,33;0,08;6,16;75,47;0,54;21,43;0,5;15,38;0,12;0;5,73;70,95;0;;0;;0;0;0;0;;;0,5;;;0;0;0;0;0;0
Raphael Veiga;Palmeiras;Palmeiras;AMF;27;12000000;2024-12-31;31;2318;9;8,46;4;2,87;17,28;44,72;Brazil;Brazil;esquerdo;178;73;sim;3,88;4,15;51,4;1,55;37,5;0,35;0,51;0,08;1,4;2,05;1,13;1;0,04;0;0;3,11;0,35;4;0,16;0,33;0;0;64;2,48;40,63;14,063;0,16;1,63;23,81;0,43;18,18;1,2;25,81;0,31;3,07;51,9;8,97;45,02;2,1;1,94;0,58;25,9;1,16;2,37;31,49;85,33;8,54;76,82;7,07;98,35;10,56;85,66;27,68;90,18;2,21;68,42;18,17;30,17;0,11;1,01;0;0,04;0,43;27,27;0,19;5,4;82,01;1,86;37,5;0,66;29,41;0,58;0,35;4,19;88,89;0;;0;;0;0;0;0;;;0,16;;;0,66;0,23;50;1,67;6;83,333
Reynaldo;Goiás;Goiás;LCB, CB;25;850000;2022-12-31;24;2312;0;0,35;0;0,17;11,56;61,28;Brazil;Brazil;esquerdo;186;81;sim;8,76;5,64;65,52;3,7;60;0,66;0,8;0,62;4,4;5,29;1,05;4;0,16;0;0;0,19;0;0;0;0,01;0;0;5;0,19;40;0;0;0,16;50;0,08;0;0,08;100;0;0,04;100;0,35;44,44;0,43;0,27;0;15,03;0,12;0,23;24,17;84,06;9,62;71,26;1,32;91,18;11,44;95,24;20,32;91,19;3,7;46,32;23;39,99;0,01;0,08;0;0;0,04;0;0;2,14;58,18;0,35;33,33;0,23;0;0,08;0,08;4,67;53,33;0;;0;;0;0;0;0;;;0,97;;;0;0;0;0;0;0
Rodrigo Soares;Juventude;Juventude;RB;29;1200000;2022-12-31;26;2307;1;0,29;2;2,78;12,87;51,72;Brazil;Brazil;direito;176;73;sim;6,82;6,17;59,48;1,65;29,27;0,16;0,21;0,12;2,99;3,85;0,93;3;0,12;0;0;2,94;0,04;1;0,04;0,01;0;0;12;0,48;25;8,333;0,08;3,39;42,86;0;0;3,35;43,37;0,4;2,02;68;3,59;50,56;0,56;1,25;0,28;30,9;1,86;0,12;42,68;83,36;16,5;79,71;5,37;93,23;16,18;86,03;35,02;90,67;4,4;55,96;20,53;36,57;0,11;0,93;0,04;0;0,04;0;0,52;5,41;81,34;3,07;53,95;0,16;25;0,36;1,41;9,56;73,84;0;;0;;0;0;0;0;;;0,69;;;0;0;0;0,44;0;0
D. Terans;Athletico Paranaense;Athletico Paranaense;AMF, CF, LWF;28;4500000;2025-06-30;33;2293;11;9,56;3;3,28;18,52;36,61;Uruguay;Uruguay;esquerdo;171;71;sim;3,31;4,19;47,47;2,08;16,33;0,08;0,12;0;1,23;1,67;1,19;8;0,31;0;0;3,31;0,43;6;0,25;0,4;0;0;79;3,35;26,58;13,924;0,13;1,53;44,44;0,97;43,48;0,55;46,15;0,17;3,56;40,48;9,07;35,98;2,46;1,74;0,59;21,44;1,4;1,27;27,08;77;6,57;61,29;5,81;90,51;9,62;81,94;22,63;81,46;2,97;60;18,9;31,59;0,14;1,23;0,04;0,04;0,72;41,18;0,38;4,79;69,03;2,58;40,98;1,23;34,48;0,93;0,68;3,94;80,65;0;;0;;0;0;0;0;;;0,08;;;1,4;0,42;20;2,8;6;83,333
Luiz Henrique;Real Betis;Real Betis;RW, RAMF;21;12000000;2028-06-30;29;2286;5;4,81;4;4,41;29,96;43,89;Brazil;Brazil;esquerdo;181;77;sim;8,58;6,85;62,07;4,29;40,37;0,16;0,23;0,12;4,17;5,98;1,22;1;0,04;0;0;4,84;0,2;5;0,2;0,19;0;0;53;2,09;22,64;9,434;0,16;1,85;34,04;0,35;33,33;1,5;34,21;0,39;6,02;56,86;15,63;37,53;3,27;1,93;0,91;18,15;1,85;1,46;26,46;78,42;6,02;60,13;7,28;95,68;7,56;73,96;24,09;83,01;0,63;25;15,63;14,79;0,17;1,1;0,08;0;0,67;47,06;0,63;2,44;62,9;2,2;53,57;0,59;33,33;0,98;0,63;3,62;72,83;0;;0;;0;0;0;0;;;0,12;;;0;0;0;0,04;0;0
Pedro Raul;Goiás;Goiás;CF;25;2000000;2024-01-31;26;2251;15;10,72;1;1,37;27,79;34,1;Brazil;Brazil;direito;192;91;sim;4,2;3,32;59,04;8,76;37,9;0,08;0,1;0,2;2,16;2,57;1,56;6;0,24;0;0;2,04;0,6;13;0,52;0,43;2;0,08;64;2,56;50;23,438;0,04;0,16;25;0,08;0;0,08;50;0,08;1,68;42,86;9,48;27,43;3,52;0,56;0,12;7,44;2,12;0,92;11,99;73;3,28;48,78;2,92;83,56;3,04;82,89;11,63;73,2;0,24;100;13,66;6,05;0,05;0,64;0;0;0,08;0;0,28;1,76;47,73;0,68;58,82;0,12;33,33;0,84;0,04;1,28;59,38;0;;0;;0;0;0;0;;;0;;;0;0;0;0;2;100
Bruno Silva;Avaí;Avaí;RCMF, DMF;36;300000;2022-12-31;24;2244;0;1,54;0;0,52;20,17;50,1;Brazil;Brazil;direito;182;78;sim;10,71;9,3;51,29;3,97;51,52;1,12;1,62;0,2;4,81;6,96;2,41;10;0,4;1;0,04;0,96;0;0;0;0,06;0;0;9;0,36;0;0;0;0,4;30;0;0;0,36;33,33;0,04;0,88;90,91;4,17;51,92;0,68;0,76;0,08;27,15;0,56;1,24;40,59;86,46;10,91;73,9;7,66;94,76;15,72;91,33;37,58;88,69;2,61;63,08;17,58;30,98;0,02;0,36;0;0;0,24;16,67;0,08;4,25;74,53;1;40;0,4;20;0,16;0,12;4,57;70,18;0;;0;;0;0;0;0;;;0,52;;;0;0;0;0;0;0
N. Hernández;Athletico Paranaense;Athletico Paranaense;LCB;24;800000;;26;2244;0;0,38;0;0,07;10,74;54,09;Colombia;Colombia;esquerdo;183;76;sim;8,82;6,27;62,67;2,51;43,33;0,88;1,07;0,63;4,01;4,91;1,13;7;0,28;0;0;0,17;0;0;0;0,02;0;0;3;0,13;0;0;0;0,25;33,33;0,25;33,33;0;0;0;0,13;66,67;0,58;50;0,17;1,3;0,04;26,28;0,63;0,29;36,43;87,96;14,5;76,08;2,72;96,92;16,8;96,52;30,71;94,42;5,47;54,2;22,5;37,91;0;0,04;0;0;0,04;0;0;5,26;66,67;0,46;18,18;0,58;7,14;0;0,13;5,81;75,54;0;;0;;0;0;0;0;;;1,38;;;0;0;0;0;0;0
Manoel;Fluminense;Fluminense;LCB, RCB;32;550000;2023-04-12;27;2241;5;1,91;1;0,03;11,37;57,6;Brazil;Brazil;direito;181;82;sim;7,51;3,65;68,13;3,78;52,13;0,04;0,07;0,8;4,98;8,63;0,72;5;0,2;2;0,08;0,68;0,2;5;0,2;0,08;4;0,16;16;0,64;31,25;31,25;0,04;0,2;60;0;0;0,2;60;0;0,72;50;1,93;50;0,88;1,77;0,36;38,51;0,44;0,88;49,4;91,46;21,2;86,55;3,57;98,88;18,47;94,57;43,9;94,42;5,3;68,18;19,32;34,26;0;0,08;0;0;0,04;0;0;5,62;77,14;0,48;33,33;0,28;28,57;0,16;0,08;6,99;86,21;0;;0;;0;0;0;0;;;2,17;;;0;0;0;0;0;0
André Luís;Cuiabá;Cuiabá;CF, RW, RAMF;25;1200000;2023-08-31;37;2241;2;2,57;0;2,77;21,97;41,32;Brazil;Brazil;esquerdo;179;70;sim;4,9;5,54;48,55;2,85;39,44;0,32;0,41;0,16;1,89;2,39;1,65;4;0,16;0;0;2,61;0,08;2;0,08;0,1;1;0,04;34;1,37;38,24;5,882;0;0,76;36,84;0,12;33,33;0,64;37,5;0,12;3,45;44,19;10,4;38,22;2,01;0,96;0,6;12,13;1,89;2,77;17,15;83,14;3,94;70,41;5,34;94,74;4,5;87,5;16,1;85,79;0,28;57,14;14,63;6,29;0,11;0,84;0,04;0,04;0,6;46,67;0,36;1,73;81,4;1,2;60;0,52;46,15;0,92;0,24;2,29;75,44;0;;0;;0;0;0;0;;;0;;;0,12;0,04;100;0,24;0;0
Marcão;Cuiabá;Cuiabá;DMF, RCMF;31;300000;2022-12-31;33;2232;0;2,14;0;0,17;18,55;49,57;Brazil;Brazil;direito;188;76;sim;7,74;8,31;52,43;4,35;48,15;0,04;0,05;0,2;3,35;3,94;1,9;6;0,24;0;0;0,93;0;0;0;0,09;0;0;14;0,56;42,86;0;0;0;0;0;0;0;0;0;1,09;62,96;3,15;47,44;0,44;0,24;0,08;16,29;0,2;0,48;26,65;91,53;6,49;80,75;3,55;94,32;12,7;96,51;25,73;92,48;0,93;65,22;15,22;11,99;0,01;0,28;0;0;0;0;0;2,62;84,62;0,16;50;0;0;0,12;0;2,5;69,35;0;;0;;0;0;0;0;;;0,16;;;0;0;0;0;0;0
Caetano;Goiás;Goiás;LCB, RCB;23;0;2024-12-31;23;2224;0;0,47;0;0,14;11,17;52,17;Brazil;Brazil;esquerdo;183;80;sim;9,02;5,75;56,34;2,79;46,38;0,61;0,71;0,65;5,18;6,06;0,85;1;0,04;0;0;0,2;0;0;0;0,02;0;0;4;0,16;50;0;0;0,16;25;0,12;33,33;0,04;0;0,04;0,16;50;0,73;50;0,4;0,16;0,08;18,62;0,12;0,36;30,67;85,88;13,35;76,36;1,86;93,48;13,35;94,85;24,77;92,32;5,79;59,44;24,4;40,2;0,01;0,16;0;0;0;0;0;3,93;65,98;0,36;55,56;0,08;50;0,24;0,04;7,04;74,14;0;;0;;0;0;0;0;;;1,17;;;0;0;0;0;0;0
Vitão;Internacional;Internacional;RCB;22;3500000;2024-06-30;22;2197;1;0,61;0;0;7,91;56,48;Brazil;Brazil;direito;185;78;sim;6,64;2,46;68,33;3,77;48,91;0,41;0,53;0,61;4,55;5,89;0,37;0;0;0;0;0,08;0,04;1;0,04;0,03;1;0,04;5;0,2;40;20;0;0;0;0;0;0;0;0;0;0;0,2;60;0,33;0,16;0,04;26,34;0,29;0,12;35,72;88,07;13,72;76,12;2,21;94,44;16,51;96,03;31,13;93,16;4,59;53,57;22,01;38,93;0;0,04;0;0;0;0;0;4,22;66,99;0,25;16,67;0,33;12,5;0,16;0;6,19;62,25;0;;0;;0;0;0;0;;;1,93;;;0;0;0;0;0;0
Khellven;Athletico Paranaense;Athletico Paranaense;RB;21;5000000;2024-02-29;29;2193;2;2,01;2;2,76;15,7;49,6;Brazil;Brazil;direito;174;70;sim;9,17;8,04;60,94;1,84;34,09;0,13;0,16;0,25;4,15;5,23;1,3;1;0,04;0;0;2,09;0,08;1;0,04;0,08;0;0;20;0,84;20;10;0,08;3,31;26,58;0,04;0;3,27;26,92;0,42;2,05;46,94;4,15;36,36;0,46;1,13;0,59;22,99;2,93;0,8;31,7;75,03;10,85;70,66;4,56;92,66;11,39;74,26;25,17;84,53;3,48;49,4;19,82;34,54;0,12;1,05;0;0;0,13;66,67;0,38;3,85;70,65;3,56;32,94;0,54;23,08;0,46;1,05;7,66;74,32;0;;0;;0;0;0;0;;;0,25;;;0,84;0,21;0;2,01;1;100
Andreas Pereira;Fulham;Fulham;LCMF, AMF, RCMF;26;7000000;2026-06-30;28;2191;6;2,29;2;2,78;17,05;40,24;Belgium;Belgium, Brazil;direito;178;70;sim;5,83;6,7;49,69;1,36;27,27;0,16;0,25;0,04;2,34;3,62;1,44;5;0,21;0;0;2,63;0,25;6;0,25;0,09;0;0;42;1,73;30,95;14,286;0,08;1,64;20;0,86;14,29;0,78;26,32;0,25;2,55;59,68;6,53;38,99;0,9;1,48;0,66;32,33;0,25;0,82;43,99;83,01;13,31;76,54;5,79;94,33;17,5;86,38;38,61;87,87;3,74;60,44;17,91;32,42;0,11;1,36;0,04;0;0,94;26,09;0,49;7,64;81,18;2,38;46,55;0,94;21,74;0,82;0,41;6,65;77,78;0;;0;;0;0;0;0;;;0,29;;;1,93;0,62;26,67;2,63;0;0
Willian Arão;Fenerbahçe;Fenerbahçe;RCMF, RDMF, RCB;29;7000000;2024-06-30;27;2184;2;1,52;0;0,25;12,77;56,77;Brazil;Brazil;direito;181;80;sim;7,5;5,6;50,74;3,79;68,48;0,16;0,25;0,45;4,49;6,84;0,91;1;0,04;0;0;0,66;0,08;2;0,08;0,06;2;0,08;16;0,66;43,75;12,5;0;0,29;57,14;0;0;0,29;57,14;0,12;0,16;75;1,24;53,33;0,99;0,54;0;35,77;0,33;0,49;49,41;91,33;16,32;85,35;4,12;95;23,9;95,52;44,51;93,89;4,62;68,75;20,26;32,87;0,01;0,21;0,04;0,04;0,21;40;0,04;9,73;87,29;0,58;50;0,41;40;0,25;0,16;9,02;82,19;0;;0;;0;0;0;0;;;0,74;;;0;0;0;0;0;0
Guga;Atlético Mineiro;Atlético Mineiro;RB;24;5000000;2023-12-31;27;2173;0;0,6;1;1,2;17,06;54,85;Brazil;Brazil, Portugal;direito;172;69;sim;10,73;9,44;64,47;2,32;33,93;0,91;1,41;0,17;3,73;5,78;1,12;1;0,04;0;0;1,37;0;0;0;0,02;0;0;16;0,66;6,25;0;0,04;2,36;29,82;0;0;2,36;29,82;0,25;0,91;59,09;2,65;46,88;0,66;1,16;0,62;30,4;2,73;0,83;42,33;84,15;13,87;76,72;7,46;97,78;14,04;87,32;37,11;89,4;2,9;60;18,54;23,63;0,05;0,83;0,04;0,04;0,17;50;0,25;4,8;80,17;2,36;45,61;0,21;60;0,5;0,7;8,12;80,1;0;;0;;0;0;0;0;;;0,5;;;0,5;0,04;0;0,79;0;0
Fabricio Bruno;Flamengo;Flamengo;RCB;26;3500000;2025-12-31;22;2166;2;1,48;0;0,23;9,89;65,13;Brazil;Brazil;direito;192;90;sim;7,48;3,61;63,22;2,83;73,53;0,08;0,11;0,54;5,11;6,92;0,54;6;0,25;0;0;0,33;0,08;2;0,08;0,06;2;0,08;10;0,42;30;20;0;0,37;44,44;0;0;0,37;44,44;0,04;0,08;50;1,04;60;0,42;0,96;0,08;29,34;0,83;1,04;42,09;90,82;16,29;82,14;3,57;100;19,53;96,81;36,94;94,6;4,82;64,66;22,53;39,09;0,01;0,17;0;0,08;0,08;0;0,04;5,24;78,57;0,66;37,5;0,21;0;0,08;0,17;8,23;76,77;0;;0;;0;0;0;0;;;3,07;;;0;0;0;0;0;0
F. Bustos;Internacional;Internacional;RB;26;6000000;2024-12-31;23;2151;2;0,75;2;2,24;12,85;57,33;Argentina;Argentina;direito;167;66;sim;9,54;6,65;66,67;1,09;53,85;1,3;1,67;0,17;3,81;4,9;0,63;3;0,13;0;0;1,67;0,08;2;0,08;0,03;0;0;14;0,59;21,43;14,286;0,08;1,8;39,53;0;0;1,72;39,02;0,25;1,13;66,67;2,85;45,59;1,67;1,34;0,33;33,93;2,34;0,33;44,9;82,85;16,65;72,61;6,99;92,22;13,51;86,69;37,78;88,59;5,44;56,15;18,35;31,44;0,09;0,88;0,13;0,04;0,25;33,33;0,38;6,11;76,03;1,97;61,7;0,42;30;0,92;0,79;10,54;75,79;0;;0;;0;0;0;0;;;0,38;;;0;0;0;0;0;0
Eric Ramires;Red Bull Bragantino;Red Bull Bragantino;LCMF, RCMF, LDMF;22;4000000;2026-12-31;33;2149;0;1,67;0;0,77;18,05;45,24;Brazil;Brazil;direito;174;67;sim;7,92;7,75;57,84;1,84;29,55;0,08;0,11;0,21;3,35;4,35;1,42;3;0,13;3;0,13;1,21;0;0;0;0,07;0;0;15;0,63;13,33;0;0;0,54;38,46;0,29;28,57;0,25;50;0,08;1,84;47,73;5,44;35,38;0,88;0,96;0,25;22,7;0,67;0,96;32,83;89,16;7,96;80;5,99;95,8;12,86;91,21;30,36;92,14;1,97;55,32;16,97;26,65;0,03;0,71;0,04;0;0,17;25;0,13;4,48;87,85;0,84;55;0,25;33,33;0,38;0,13;4,19;80;0;;0;;0;0;0;0;;;0,25;;;0;0;0;0;0;0
Moisés;Fortaleza;Fortaleza;LW, CF;26;1000000;2024-12-31;29;2147;6;5,39;3;1,65;18,82;39,64;Brazil;Brazil;direito;175;80;sim;4,07;3,06;54,79;2,14;33,33;0,25;0,32;0,04;2,14;2,76;0,34;0;0;0;0;4,15;0,25;6;0,25;0,23;0;0;46;1,93;43,48;13,043;0,13;0,88;42,86;0,8;47,37;0,08;0;0,08;5,62;50,75;11,36;39,11;3,02;2,93;1,26;13,25;1,72;0,67;19,58;78,8;4,49;72,9;3,9;86,02;6,46;82,47;17,9;81,5;0,84;55;16,71;19,6;0,07;0,88;0,13;0;0,38;22,22;0,38;1,89;73,33;1,55;62,16;0,46;9,09;0,88;0,38;2,72;81,54;0;;0;;0;0;0;0;;;0;;;0,13;0,04;0;0,42;0;0
Yuri Alberto;Corinthians;Corinthians;CF;21;16000000;2027-06-30;25;2146;9;7,72;1;1,65;22,56;30,48;Brazil;Brazil;ambos;183;78;sim;2,89;2,26;50;6,37;27,63;0,17;0,23;0,13;1,59;2,21;1,64;3;0,13;0;0;2,43;0,38;9;0,38;0,32;2;0,08;52;2,18;48,08;17,308;0,04;0,63;13,33;0,34;0;0,29;28,57;0,08;2,22;47,17;8,01;31,41;3,94;0,63;0,5;14,01;2,26;1,47;19,25;74,29;3,31;60,76;6;83,22;4,7;73,21;18,37;76,26;0,29;71,43;13,01;12,8;0,07;0,67;0;0;0,5;50;0,21;1,05;76;0,92;45,45;0,29;57,14;0,63;0,08;1,59;65,79;0;;0;;0;0;0;0;;;0;;;0;0;0;0;0;0
Ronald;Fortaleza;Fortaleza;LCMF, RCMF, RW;25;800000;2024-12-31;28;2144;0;0,73;0;0,91;23,97;47,64;Brazil;Brazil;direito;171;72;sim;8,23;9,91;59,75;1,47;34,29;0,13;0,16;0,04;2,18;2,72;1,51;6;0,25;1;0,04;2,39;0;0;0;0,03;0;0;16;0,67;18,75;0;0;0,59;35,71;0,13;33,33;0,46;36,36;0,08;3,27;56,41;9,19;40,64;0,59;2,48;1,05;20,32;0,25;1,01;32,41;84,07;8,82;68,57;5;93,28;13,26;90,19;29,76;86,88;2,06;57,14;17,56;25,91;0,04;0,63;0,04;0;0,55;38,46;0,13;5,46;78,46;1,01;33,33;0,67;31,25;0,21;0,21;4,62;75,45;0;;0;;0;0;0;0;;;0,42;;;0,08;0;0;0,13;0;0
